specimen,broad_taxon_for_plotting,family,genus,species,life_history_notes,trait,armored,Semi-aquatic,n_cervical,n_thoracic,n_lumbar,color,marker,notes,Total Vert
homalopsidae_homalopsis_buccata_uf61845,snake,Snake Homalopsidae,Homalopsis,buccata,snake,snake,n,n,0,1,0,"(0.25, 0.22, 0.2)",2',,1
hoplocercidae_enyaloides_oshaughnessyi_uf191439,iguania,Hoplocercidae,Enyaloides,oshaughnessyi,terrestrial,terrestrial,n,n,5,6,11,"(0.78, 0.16, 0.16)",X',,22
iguanidae_iguana_iguana_uf181922,iguania,Iguanidae,Iguana,iguana,Arboreal,arboreal,n,n,5,9,7,"(0.78, 0.16, 0.16)",d',,21
lacertidae_gallotia_galloiti_uf89367,laterata,Lacertidae,Lacerta,agilis,terrestrial,terrestrial,n,n,5,5,13,"(0.145, 0.39, 0.075)",X',,23
lacertidae_lacerta_agilis_uf-91747,laterata,Lacertidae,Gallotia,galloiti,terrestrial,terrestrial,n,n,5,9,11,"(0.145, 0.39, 0.075)",X',,25
lacertidae_takydromus_smaragdinus_uf-herp-130140,laterata,Lacertidae,Takydromus,smaragdinus,grass swimmer,grass swimmer,n,n,5,7,12,"(0.145, 0.39, 0.075)",P',,24
lanthanotidae_lanthanotus_borneensis_uf16268,anguimorpha,Lanthanotidae,Lanthonotus,borneensis,burrowing in mud/aquatic,burrowing,y,y,5,11,18,"(1.00, 0.79, 0.20)",s',,34
leiocephalidae_leiocephalus_uf188922,iguania,Leiocephalidae,Leiocephalus,carinatus,terrestrial,terrestrial,n,n,5,5,9,"(0.78, 0.16, 0.16)",X',,19
leiosauridae_leiosaurus_belli_fmnh6537,iguania,Leiosauridae,Leiosaurus,belli,terrestrial,terrestrial,n,n,5,5,12,"(0.78, 0.16, 0.16)",X',,22
phrynosomatidae_phrynosoma_cornutum_uf124940,iguania,Phrynosomatidae,Phrynosoma,cornutum,"terrestrial- spikey, eats ants- ecological equivolent to Ouroborus",terrestrial,y,n,2,2,10,"(0.78, 0.16, 0.16)",X',,14
phrynosomatidae_sceloporus_uf51331,iguania,Phrynosomatidae,Sceloporus,torquatus,terrestrial,terrestrial/arboreal,n,n,5,5,10,"(0.78, 0.16, 0.16)",X',,20
polycrotidae_polychrous_mamoratus_uf,iguania,Polycrotidae,Polychrous,mamoratus,arboreal,arboreal,n,n,5,9,11,"(0.78, 0.16, 0.16)",d',,25
pygopodidae_lialis_burtonis_uf43419,gekkota,Pygopodidae,Lialis,burtonis,terrestrial-limbless,burrowing,n,n,5,10,36,"(0.41, 0.227, 0.6)",s',,51
rhineuridae_rhineura_floridana_uf-80435,amphisbaenea,Rhineuridae,Rhineura,floridana,limbless burrowing in dirt,head burrowing,n,n,NA,NA,NA,"(0.60, 0.50, 0.46)",s',not reliable to distinguish c/t/l split,0
schinisauridae_shinosaurus_crocodilurus_uf45615,anguimorpha,Schinisauridae,Shinosaurus,crocodilurus,semi-aquatic,semi-aquatic,y,y,5,5,14,"(1.00, 0.79, 0.20)",X',,24
scincidae_acontias_meleagris,scincidae,Scincidae,Acontias,meleagris,limbless burrowing in dirt,head burrowing,y,n,5,23,39,"(0.65, 0.69, 0.12)",s',,67
scincidae_ateuchosaurus_pellopleurus,scincidae,Scincidae,Ateuchosaurus,pellopleurus,terrestrial,terrestrial,y,n,5,11,11,"(0.65, 0.69, 0.12)",X',,27
scincidae_chalcides_guentheri_uf14800,scincidae,Scincidae,Chalcides,guentheri,grass swimmer,grass swimmer,n,n,5,5,51,"(0.65, 0.69, 0.12)",P',,61
scincidae_egernia_hosmeri,scincidae,Scincidae,Egernia,hosmeri,terrestrial armoured,terrestrial,y,n,5,9,10,"(0.65, 0.69, 0.12)",X',,24
scincidae_mochlus_fernandi_uf27596,scincidae,Scincidae,Mochlus,fernandi,terrestrial/limbed burrowing in dirt,limb burrowing,y,n,5,9,14,"(0.65, 0.69, 0.12)",s',,28
scincidae_tiliqua_rugosa_uf87304,scincidae,Scincidae,Tribolonotus,novaeguineae,terrestrial armoured,terrestrial,y,n,5,14,14,"(0.65, 0.69, 0.12)",X',,33
sphaerodactylidae_aristelliger_lar_uf186878,gekkota,Gekkota Sphaerodactylidae,Aristelliger,lar,terrestrial,terrestrial,n,n,5,5,13,"(0.41, 0.227, 0.6)",X',,23
sphenodontidae_sphenodon_punctatus_flmnh,rhynchocephalia,Sphenodontidae,Sphenodon,punctatus,Terrestrial- sister to all lizards,terrestrial,n,n,5,10,8,"(0.60, 0.50, 0.46)",X',,23
teiidae_callopistes_flavipunctatus_ummz118093,laterata,Teiidae,Callopistes,flavipunctatus,large terrestrial like veranus,terrestrial,n,n,4,11,8,"(0.60, 0.50, 0.46)",X',,23
teiidae_crocodilurus_amazonicus_ku127240,laterata,Teiidae,Crocodilurus,amazonicus,semi aquatic,semi-aquatic,n,n,4,9,10,"(0.60, 0.50, 0.46)",X',,23
teiidae_dracaena_guianensis_uf129938,laterata,Teiidae,Dracaena,guianensis,arboreal/aquatic,arboreal,n,y,4,10,9,"(0.60, 0.50, 0.46)",d',,23
teiidae_tupinambis_tex_lsumz47686,laterata,Teiidae,Tupinambis,teguixin,terrestrial,terrestrial,n,n,5,5,13,"(0.60, 0.50, 0.46)",X',,23
tropiduridae_tropidurus_torquatus_uf60944,iguania,Tropiduridae,Tropidurus,torquatus,terrestrial,terrestrial,n,n,5,5,12,"(0.78, 0.16, 0.16)",X',,22
typhlopidae_aniolios_erycinus_uf113561,snake,Snake Typhlopidae,Aniolios,erycinus,snake,snake,n,n,0,1,0,"(0.25, 0.22, 0.2)",2',,1
varanidae_varanus-prasinus-uf71411,anguimorpha,Varanidae,Varanus,komodoensis,terrestrial,terrestrial,y,y,5,9,12,"(1.00, 0.79, 0.20)",X',,26
varanidae_varanus_komodoensis_tnhc113000,anguimorpha,Varanidae,Varanus,prasinus,Terestrial,terrestrial,y,n,5,5,17,"(1.00, 0.79, 0.20)",X',,27
xantusiidae_cricosaura_typica,xantusiidae,Xantusiidae,Cricosaura,typica,reduced limbed terrestrial; lives in leaf litter,terrestrial,n,n,5,11,8,"(0.88, 0.74, 0.59)",X',,24
xantusiidae_lepidophyma_obscura,xantusiidae,Xantusiidae,Lepidophyma,obscura,terrestrial,terrestrial,n,n,5,9,9,"(0.88, 0.74, 0.59)",X',,23
xenosauridae_xenosaurus_platyceps_uf104135,anguimorpha,Xenosauridae,Xenosaurus,platyceps,Saxicolous,Saxicolous,y,n,5,5,19,"(1.00, 0.79, 0.20)",o',,29
